attendance,study_hours,previous_marks,assignment_completion,sleep_hours,participation,backlogs,performance
68.72700594236812,2.2959305018703375,50.70234102415436,80.36217965253388,6.859979391417964,57.55448641942095,0,71.14430262122944
97.53571532049581,4.793306631648507,49.81872794431999,87.80088383148234,8.02716164649993,63.1404961562515,0,93.91498903013688
86.59969709057026,7.110620851134858,89.3752748312622,55.02807392754994,7.800804648950795,89.81831752415262,2,100.0
79.93292420985183,6.125574204866928,49.972771990970365,77.49244597641993,4.769499523468868,53.80030702419245,0,88.44266563353985
57.80093202212183,6.645928035030148,51.316983567717855,74.30475898862491,4.746247348707369,90.875477936852,0,91.21869531495187
57.79972601681013,5.611483566975021,80.56389574507782,89.96982260729627,5.340871838724567,36.1694101683684,2,88.1122083760661
52.90418060840997,5.845935951624967,61.984390547032405,94.36522362887564,5.805373631705186,84.37589060460415,3,84.78685525907159
93.30880728874675,6.944369560957235,81.60263341731087,40.72940628864321,6.042277907042413,89.32833431383155,3,97.3519560470209
80.05575058716045,2.7476760620143015,38.92196945386311,80.44119514352755,7.398486084166726,42.72723569861371,0,67.81532677314705
85.40362888980228,4.425974745501984,64.25427162040306,43.11014794718374,4.283402160829177,60.12425726605403,0,79.68331632942964
51.029224714790125,2.5484660927372156,37.016816010996955,72.93151990464136,4.173363521130332,41.584984226455894,2,52.93669630455047
98.49549260809971,7.913676055976529,38.75919220732127,57.25796374262069,5.959552814719546,79.46228902959524,2,95.53608914120203
91.62213204002109,7.608415377806293,89.38624720066466,58.40659597132847,7.485818460689902,67.47434376431598,3,100.0
60.61695553391381,1.2759876795795413,43.354722267055706,61.177510207141395,4.967176714782413,74.47263426958247,1,53.09087174772552
59.09124836035503,5.939026207609819,66.94524093651303,77.27754694297661,7.207522406281258,43.75408768693478,0,90.2567365879257
59.17022549267169,7.4767382219096605,59.66573615604239,60.042997940126156,5.299140689701497,44.82221034366937,1,89.81365085935825
65.21211214797688,2.2640274158913347,55.84059957553056,83.96194303541682,8.430430544067582,32.904812785693444,1,73.96201636850087
76.2378215816119,4.975616613868406,88.99000074123634,64.27164313443218,8.478449721333082,52.54472746370108,2,91.4523859453616
71.5972509321058,7.408418083116293,36.30940380652937,44.101192018597516,5.486436021406632,69.18212629335724,0,89.48451215978119
64.5614570099021,1.237621850100592,74.82738117053535,87.02559054904643,5.149968769816203,90.05544397981302,0,74.27837495110843
80.59264473611897,5.881941870727879,92.80366605281303,57.14549947556236,6.056519860331156,76.68492132210764,2,95.34983755942721
56.97469303260209,3.0814430516078555,68.61009100771051,65.96601277595576,5.202657925900743,60.4777426379826,1,70.09902050941206
